id,question,rating_raw,respT,type,isTrue,correct,confidence
16,UoE_1_13,3,1,science,1,1,1
16,UoE_1_14,3,1,science,0,0,1
16,UoE_1_15,2,1,covid,0,0,2
16,UoE_1_16,5,0,covid,0,1,2
16,UoE_1_17,6,0,covid,0,1,3
16,UoE_1_18,5,0,covid,0,1,2
16,UoE_1_19,5,0,covid,0,1,2
16,UoE_1_20,5,0,covid,0,1,2
16,UoE_1_21,1,1,covid,1,1,3
16,UoE_1_22,2,1,covid,1,1,2
16,UoE_1_23,3,1,covid,1,1,1
16,UoE_1_24,1,1,covid,1,1,3
16,UoE_1_25,5,0,covid,0,1,2
16,UoE_1_26,2,1,covid,1,1,2
16,UoE_1_27,2,1,covid,1,1,2
16,UoE_1_28,2,1,covid,1,1,2
17,UoE_1_1,6,0,science,0,1,3
17,UoE_1_2,6,0,science,0,1,3
17,UoE_1_3,6,0,science,0,1,3
17,UoE_1_4,2,1,science,0,0,2
17,UoE_1_5,3,1,science,0,0,1
17,UoE_1_6,6,0,science,0,1,3
17,UoE_1_7,1,1,science,1,1,3
17,UoE_1_8,5,0,science,1,0,2
17,UoE_1_9,1,1,science,1,1,3
17,UoE_1_10,1,1,science,1,1,3
17,UoE_1_11,1,1,science,1,1,3
17,UoE_1_12,1,1,science,1,1,3
17,UoE_1_13,3,1,science,1,1,1
17,UoE_1_14,2,1,science,0,0,2
17,UoE_1_15,3,1,covid,0,0,1
17,UoE_1_16,6,0,covid,0,1,3
17,UoE_1_17,6,0,covid,0,1,3
17,UoE_1_18,6,0,covid,0,1,3
17,UoE_1_19,6,0,covid,0,1,3
17,UoE_1_20,6,0,covid,0,1,3
17,UoE_1_21,1,1,covid,1,1,3
17,UoE_1_22,2,1,covid,1,1,2
17,UoE_1_23,2,1,covid,1,1,2
17,UoE_1_24,1,1,covid,1,1,3
17,UoE_1_25,5,0,covid,0,1,2
17,UoE_1_26,1,1,covid,1,1,3
17,UoE_1_27,2,1,covid,1,1,2
17,UoE_1_28,1,1,covid,1,1,3
18,UoE_1_1,5,0,science,0,1,2
18,UoE_1_2,6,0,science,0,1,3
18,UoE_1_3,6,0,science,0,1,3
18,UoE_1_4,3,1,science,0,0,1
18,UoE_1_5,4,0,science,0,1,1
18,UoE_1_6,5,0,science,0,1,2
18,UoE_1_7,1,1,science,1,1,3
18,UoE_1_8,6,0,science,1,0,3
18,UoE_1_9,1,1,science,1,1,3
